speak,TransitiveFrame,dbo:language,How many languages are spoken in Turkmenistan?,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?objOfProp . 

}"
marry,TransitiveFrame,dbo:spouse,How often did Jane Fonda marry?,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . }
live in ,TransitiveFrame,dbo:populationTotal,How many people live in Poland?,"select ?o 

{

 <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?o . 

}"
highest,NounPPFrame,dbo:elevation,What is the highest mountain in Australia?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
high,NounPPFrame,dbo:elevation,What is the highest mountain in Australia?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
stand for,IntransitivePPFrame,dbo:abbreviation,What does IYCM stand for?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/abbreviation> 'IYCM' 

}"
largest,NounPPFrame,dbo:largestCity,What is the largest city in Australia?,"select ?o 

{

 <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity> ?o . 

}"
editor,NounPPFrame,dbo:editor,Who is the editor of Forbes?,"select ?o 

{

 <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?o . 

}"
born,IntransitivePPFrame,dbo:birthPlace,Which professional surfers were born in Australia?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Australia> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Surfing> . 

}"
found in ,0.8695652174,dbo:foundationPlace,"""which companies were founded in Beijing?""","select ?s 

{

 ?s <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> . 

}"
published by ,NounPPFrame,dbo:publisher,Give me all video games published by Mean Hamster Software.,select ?s { ?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Mean_Hamster_Software> . }
directed by,NounPPFrame,dbo:director,Give me all films directed by Francis Ford Coppola?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}"
called,IntransitivePPFrame,dbp:nickname,Who was called Rodzilla?,"select ?s 

{

 ?s <http://dbpedia.org/property/nickname> 'Rodzilla'@en . 

}"
direct,TransitiveFrame,dbo:director,which films were directed by Guy Ritchie?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}"
real name,NounPPFrame,dbo:alterEgo,What is Batman's real name?,"select ?o 

{

 <http://dbpedia.org/resource/Batman> <http://dbpedia.org/property/alterEgo> ?o . 

}"
produced by,IntransitivePPFrame,dbo:product,"How many companies are produced by Facebook?""","select (COUNT(DISTINCT ?subjOfProp) as ?c) WHERE 

{

 ?subjOfProp <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Facebook> . 

}"
children of,children of,dbo:child,show me all children of Benjamin Franklin,"select ?o 

{

 <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?o . 

}"
children of,children of,dbo:child,List the children of Margaret Thatcher.,"select ?o 

{

 <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?o . 

}"
grow,grow,dbo:growingGrape,in which wine region is Melon de Bourgogne grown?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/growingGrape> <http://dbpedia.org/resource/Melon_de_Bourgogne> . 

}"
oldest,1,dbo:birthDate,Who is the oldest child of Meryl Streep?,"SELECT DISTINCT ?objOfProp WHERE 

{

 <http://dbpedia.org/resource/Meryl_Streep> <http://dbpedia.org/ontology/child> ?objOfProp . ?objOfProp <http://dbpedia.org/ontology/birthDate> ?num . 

} ORDER BY ASC(?num) LIMIT 1"
old ,1,dbo:birthDate,Who is the oldest child of Meryl Streep?,"SELECT DISTINCT ?objOfProp WHERE 

{

 <http://dbpedia.org/resource/Meryl_Streep> <http://dbpedia.org/ontology/child> ?objOfProp . ?objOfProp <http://dbpedia.org/ontology/birthDate> ?num . 

} ORDER BY ASC(?num) LIMIT 1"
game by,0.8,dbo:publisher,List all games by GMT.,?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/MetaTV> .
flow into,flow into,dbo:inflow,What does Isar flow into?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/inflow> <http://dbpedia.org/resource/Isar> . 

}"
serve,1,dbo:targetAirport,Which airports does Yeti Airlines serve?,"""select ?o 

{

 <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?o . 

}"""
live in ,1,dbo:ethnicGroup,How many ethnic groups live in Slovenia?,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?objOfProp . 

}"
president of,0.9538461538,dbo:office,Who is the president of Eritrea?,"select ?o 

{

 <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/office> ?o . 

}"
direct,1,dbo:director,Which films did Stanley Kubrick direct?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}"
high,1,dbo:elevation,What is the highest mountain in Italy?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Italy> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
tall,1,dbo:height,How tall is Claudia Schiffer?,"select ?o 

{

 <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/height> ?o . 

}"
vice president,0.9879518072,dbo:vicePresident,Who was John F. Kennedy's vice president?,"select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?o . 

}"
successor of,1,dbo:successor,Who was the successor of John F. Kennedy?,"select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/successor> ?o . 

}"
direct,0.8169014085,dbo:director,Which movies did Kurosawa direct?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Akira_Kurosawa> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}"
time zone ,0.7368421053,dbo:timeZone,In which time zone is Rome?,"select ?o 

{

 <http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?o . 

}"
currency,0.8196721311,dbo:currency,Give me the currency of China.,"select ?o 

{

 <http://dbpedia.org/resource/China> <http://dbpedia.org/ontology/currency> ?o . 

}"
king of,0.9393939394,dbo:leader ,Who is the king of the Netherlands?,"select ?o 

{

 <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?o . 

}"
die,1,dbo:deathPlace,In which city did Nikos Kazantzakis die?,"select ?o 

{

 <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathPlace> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}"
participate,0.7454545455,dbo:battle,"""in which conflicts T. E. Lawrence participate?""","select ?o 

{

 <http://dbpedia.org/resource/T._E._Lawrence> <http://dbpedia.org/ontology/battle> ?o . 

}"
born,0.8979591837,dbo:birthPlace,in which city did President of Montenegro born?,"select ?o 

{

 <http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/birthPlace> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}"
born,1,dbo:birthPlace,Which country was Bill Gates born in?,"select ?o 

{

 <http://dbpedia.org/resource/Bill_Gates> <http://dbpedia.org/ontology/birthPlace> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}"
write,0.8888888889,dbo:author,Show me the book that Muhammad Ali wrote.,"select ?s 

{

 ?s <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Muhammad_Ali> . 

}"
starring in,0.8510638298,dbo:starring,Give me all actors starring in Last Action Hero.,"select ?o 

{

 <http://dbpedia.org/resource/Last_Action_Hero> <http://dbpedia.org/ontology/starring> ?o . 

}"
nickname,1,dbp:nickname,What are the nicknames of San Francisco?,"select ?o 

{

 <http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?o . 

}"
create,1,dbo:creator,Which television shows were created by Walt Disney?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/Walt_Disney> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow> . 

}"
marry,1,dbo:spouse,Whom did Lance Bass marry?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Lance_Bass> . 

}"
inspired by,1,dbo:influenced,Who was Vincent van Gogh inspired by?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Vincent_van_Gogh> . 

}"
die,1,dbo:deathPlace,in which city did John F. Kennedy die?,"select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}"
write,0.8387096774,dbo:composer,Who wrote Game of Thrones?,"select ?o 

{

 <http://dbpedia.org/resource/Game_of_Thrones> <http://dbpedia.org/ontology/composer> ?o . 

}"
grow in,0.8,dbo:growingGrape,which grapes grow in Oregon wine?,"select ?o 

{

 <http://dbpedia.org/resource/Oregon_wine> <http://dbpedia.org/ontology/growingGrape> ?o . 

}"
tall,1,dbo:height,How tall is Michael Jordan?,"select ?o 

{

 <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?o . 

}"
write,0.8860759494,dbo:author,Who wrote the book The Pillars of the Earth?,"select ?o 

{

 <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?o . 

}"
president of,0.8636363636,dbo:office,What was the president of United States?,"select ?o 

{

 <http://dbpedia.org/resource/United_States> <http://dbpedia.org/ontology/office> ?o . 

}"
high,0.9285714286,dbo:elevation,How high is the Mount Everest?,"select ?o 

{

 <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/elevation> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}"
doctoral supervisor,1,dbo:doctoralAdvisor,Who was the doctoral supervisor of Albert Einstein?,"select ?o 

{

 <http://dbpedia.org/resource/Albert_Einstein> <http://dbpedia.org/ontology/doctoralAdvisor> ?o . 

}"
live in ,0.9411764706,dbo:residence,In which city does Sylvester Stallone live?,"select ?o 

{

 <http://dbpedia.org/resource/Sylvester_Stallone> <http://dbpedia.org/ontology/residence> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}"
currency of ,0.9512195122,dbo:currency,What is the currency of the Czech Republic?,"select ?o 

{

 <http://dbpedia.org/resource/Czech_Republic> <http://dbpedia.org/ontology/currency> ?o . 

}"
time zone,1,dbo:timeZone,What is the time zone of Salt Lake City?,"select ?o 

{

 <http://dbpedia.org/resource/Salt_Lake_City> <http://dbpedia.org/ontology/timeZone> ?o . 

}"
 headquarter of,0.8666666667,dbp:location,In which city are the headquarters of the United Nations?,"select ?o 

{

 <http://dbpedia.org/resource/Headquarters_of_the_United_Nations> <http://dbpedia.org/property/location> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}"
founder of,1,dbo:founder,Who is the founder of Penguin Books?,"select ?o 

{

 <http://dbpedia.org/resource/Penguin_Books> <http://dbpedia.org/ontology/founder> ?o . 

}"
founded,1,dbo:foundingYear,When was Jack Wolfskin founded?,"select ?o 

{

 <http://dbpedia.org/resource/Jack_Wolfskin> <http://dbpedia.org/ontology/foundingYear> ?o . 

}"
mayor,1,dbo:leaderName,Who is the mayor of Rotterdam?,"select ?o 

{

 <http://dbpedia.org/resource/Rotterdam> <http://dbpedia.org/ontology/leaderName> ?o . 

}"
tall,1,dbo:height,Who is the tallest basketball player?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
book by,0.7346938776,dbo:author,Give me all books by William Goldman,"select ?s 

{

 ?s <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/William_Goldman> . 

}"
locate,1,dbp:location,Where is Fort Knox located?,"select ?o 

{

 <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?o . 

}"
locate,0.8571428571,dbp:location,in which place is Fort Knox located?,"select ?o 

{

 <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/property/location> ?o . 

}"
burry,1,dbo:restingPlace,Where is Syngman Rhee buried?,"select ?o 

{

 <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?o . 

}"
timezone,0.9450549451,dbo:timeZone,What is the timezone in San Pedro de Atacama?,"select ?o 

{

 <http://dbpedia.org/resource/San_Pedro_de_Atacama> <http://dbpedia.org/ontology/timeZone> ?o . 

}"
known for,0.7580645161,dbo:knownFor,which Scientist is known for Manhattan Project?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/knownFor> <http://dbpedia.org/resource/Manhattan_Project> . 

}"
book in,0.8837209302,dbo:series,show me all books in Foundation series,"select ?s 

{

 ?s <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Foundation_series> . 

}"
high,0.9444444444,dbo:height,How high is the Yokohama Marine Tower?,"select ?o 

{

 <http://dbpedia.org/resource/Yokohama_Marine_Tower> <http://dbpedia.org/ontology/height> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}"
young,0.9846153846,dbo:birthDate,Who is the youngest Darts player?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/DartsPlayer> . ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
develop,0.8101265823,dbo:developer,Who developed World of Warcraft?,"select ?o 

{

 <http://dbpedia.org/resource/World_of_Warcraft> <http://dbpedia.org/ontology/developer> ?o . 

}"
found,0.8990825688,dbo:foundedBy,Who was the pope that founded Vatican Television Center?,"select ?o 

{

 <http://dbpedia.org/resource/Vatican_Television_Center> <http://dbpedia.org/ontology/foundedBy> ?o . 

}"
compose,0.9885057471,dbo:musicComposer,Who compose the music for Harold and Maude?,"select ?o 

{

 <http://dbpedia.org/resource/Harold_and_Maude> <http://dbpedia.org/ontology/musicComposer> ?o . 

}"
member,0.9230769231,dbo:bandMember,Give me all members of Prodigy.,"select ?o 

{

 <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?o . 

}"
speak in,1,dbo:language,How many languages are spoken in Colombia?,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Colombia> <http://dbpedia.org/ontology/language> ?objOfProp . 

}"
big,1,dbo:seatingCapacity,What is the biggest stadium in Spain?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium> . ?subjOfProp <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
bigget,1,dbo:seatingCapacity,What is the biggest stadium in Spain?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium> . ?subjOfProp <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
born,0.8,dbo:birthPlace,Which professional surfers were born on the Philippines?,"select ?s 

{

 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Philippines> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Surfing> . 

}"
die,0.8148148148,dbo:deathDate,When did princess Diana die?,"SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Diana,_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?d . }"
produce,0.8684210526,dbo:Sparkling_wine,"""Where is Sparkling wine produced?","select ?o 

{

 <http://dbpedia.org/resource/Sparkling_wine> <http://dbpedia.org/ontology/wineProduced> ?o . 

}"
