QALD_ID,QALD_Question,TP,FP,FN,Precision,Recall,Fscore
33,Dame todos los escritores que hayan recibido el premio nobel de literatura.,0,0,21,0,0,0
34,Muéstrame todos los jugadores de baloncesto que tienes mas de 2 metros de altura,4253,0,0,1,1,1
35,¿Cuándo fue construída la estatua de la libertad?,1,0,0,1,1,1
36,¿Qué estados tienen frontera con Illinois?,5,0,0,1,1,1
37,¿Quién desarrolló Minecraft?,1,0,0,1,1,1
38,¿Dónde murió Hillel Slovak?,2,0,0,1,1,1
39,¿En qué películas participa Jesse Eisenberg?,0,0,25,0,0,0
40,Dame todos los nadadores nacidos en Moscú,55,0,0,1,1,1
41,Dame todas las cosmonautas.,0,0,118,0,0,0
42,Dame todas las organizaciones Suizas sin animo de lucro,1,0,0,1,1,1
43,¿Qué presidentes nacieron en 1945?,0,0,0,0,0,0
44,¿Qué tipo de música tocaba Lou Reed?,5,0,0,1,1,1
45,¿Dónde juegan los Red Sox?,1,0,0,1,1,1
46,Dame una lista de los clubs de futbol que juegan en Bundesliga.,0,0,52,0,0,0
47,¿Que volcanos han erupcionado en Japon desde el 2000?,0,0,0,0,0,0
48,¿Cuantos puentes cruzan el Siena?,0,0,33,0,0,0
49,¿Cuál es el color oficial de la Universidad de Oxford?,1,0,0,1,1,1
50,¿Cuántas películas ha producido Hal Roach?,1,0,0,1,1,1
51,Dame todas las películas danesas.,122,0,0,1,1,1
52,¿Cual es la causa mortal más común?,0,0,0,0,0,0
53,¿Cuáles son los cuatro jugadores de baloncesto de categoría MVP más jóvenes?,0,0,0,0,0,0
54,Dame todas las empresas de Munich?,5,0,135,1,0.035714287,0.068965524
55,Dame las capitales de todos los países que atraviesa el Himalaya.,0,0,1,0,0,0
56,¿Cuántas películas dirigió Park Chan-wook?,0,0,0,0,0,0
57,¿Qué ríos desembocan en un lago alemán?,0,0,105,0,0,0
58,¿Cuantas líneas aéreas existen?,0,0,1,0,0,0
59,Dame todas la islas que pertenezcan a Japón.,0,0,88,0,0,0
60,¿Cuántos habitantes tiene Maribor?,0,0,1,0,0,0
61,Dame todos los astronautas de Apolo 14?,3,0,0,1,1,1
62,¿Qué empresas tienen mas de 1 millón de empleados?,0,0,16,0,0,0
63,¿En qué películas dirigidas por Garry Mashall actuó Julia Roberts?,0,0,3,0,0,0
64,Dame todos los clubs de la Premier League.,0,0,264,0,0,0
65,¿Cuál es el punto más alto del montes Urales?,0,0,1,0,0,0
66,¿Quién es el gobernador de Wyoming?,1,0,0,1,1,1
67,¿Dónde estudio el arquitecto de la torre Eiffel?,0,0,1,0,0,0
68,¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?,0,0,33,0,0,0
69,Dame todos los actores nacidos en Paris después de 1950.,0,0,0,0,0,0
70,¿Qué películas protagonizan juntos Liz Taylor y Richard Burton?,0,0,11,0,0,0
71,Dame todas las organizaciones benéficas de Australia.,1,0,0,1,1,1
72,¿Qué papa fue el sucesor de Juan Pablo II?,1,0,0,1,1,1
73,Dame todos los astronautas de la ESA.,0,0,1,0,0,0
74,¿Quién fue el presidente de Pakistán en 1978?,0,0,1,0,0,0
75,¿Quién es el dueño de Rolls-Royce?,2,0,0,1,1,1
76,¿Cuantos museos hay en Paris?,0,0,21,0,0,0
77,¿Dónde fue JFK asesinado?,0,0,1,0,0,0
78,Dame todos los cancilleres alemanos.,0,0,13,0,0,0
79,Muestrame todas las personas nacidas en Halloween,0,0,1,0,0,0
80,¿Qué cerveza se ha originado en Irlanda?,1,0,0,1,1,1
81,¿Por qué países se extiende el Himalaya?,0,0,1,0,0,0
82,¿Qué actores nacieron en Alemania?,0,0,26,0,0,0
83,¿Cuantos hidrates de carbono tienen la manteca de cacahuete?,0,0,1,0,0,0
84,¿Quién ha producido más películas?,0,0,0,0,0,0
85,¿Cuántos empleados tiene Google?,1,0,0,1,1,1
86,Dame todos los actores nacidos en Berlin.,1,0,0,1,1,1
87,¿Quién es el creador de Goofy?,3,0,0,1,1,1
88,¿Qué albums musicales contienen la canción Las Christmas?,0,0,0,0,0,0
89,¿Cúando fué fundada la provincia de Alberta?,1,0,0,1,1,1
90,¿Cuántas misiones tiene el programa Soyuz?,1,0,0,1,1,1
91,Dame todos los programas de televisión con Neil Patrick Harris.,12,20,0,0.375,1,0.54545456
92,¿Cúando se fundaron los Hells Angels?,1,0,0,1,1,1
93,¿Cual es la ganancia en neto de Apple?,1,0,0,1,1,1
94,Dame todos los días festivos en Suecia.,4,0,0,1,1,1
95,¿En qué ciudad fué enterrada la antigua reina de los países bajos Juliana?,0,0,1,0,0,0
96,Dame todos los musicales con música de Leonard Bernstein.,0,0,8,0,0,0
97,Dame todas las empresas publicitarias.,0,0,1,0,0,0
98,¿Cuál es el área metropolitana mas larga en el estado de Washington?,0,0,1,0,0,0
99,¿Quién asesino a John Lennon?,0,0,1,0,0,0
100,¿Que escritores estudiaron en Estambul?,0,0,12,0,0,0
101,Dame todos los grupos australianos de metalcore.,21,0,0,1,1,1
102,¿Qué países han introducido el Euro?,0,0,47,0,0,0
103,¿Que tipos hay de trastornos de la alimentación?,0,0,0,0,0,0
104,¿Fué Marc Chagall judío?,0,0,0,0,0,0
105,¿Cuál ha sido la posición de ranking más baja de Brasil en el ranking mundial de la FIFA?,0,0,1,0,0,0
106,¿En cuántas películas ha actuado Leonardo DiCaprio?,1,0,0,1,1,1
107,¿Fue Margaret Thatcher química?,0,0,0,0,0,0
108,¿Qué estados americanos se encuentran en la misma zona que Utah?,0,0,0,0,0,0
109,Dame todos los libros escritos por Danielle Steel.,47,0,0,1,1,1
110,¿Qué país tiene más idiomas oficiales?,0,0,0,0,0,0
111,¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,0,0,1,0,0,0
112,¿Qué actor hizo el papel de Chewbacca?,2,0,0,1,1,1
113,Dame todas las bibliotecas que fueron establecidas antes de 1400.,0,0,12,0,0,0
114,¿Qué lenguajes de programación fueron influenciados por el Perl?,18,0,0,1,1,1
115,¿En qué estado de los estados unidos se encuentra el monte McKinley?,0,0,0,0,0,0
116,¿Qué aerolíneas forman parte del la alianza SkyTeam?,54,0,0,1,1,1
117,¿Qué barcos fueron bautizados en honor a Benjamin Franklin?,4,0,0,1,1,1
118,Dame todos los políticos que sean metodístas.,86,0,0,1,1,1
119,Qué otro libros tener estado escrito por el autor de los Culpa en Nuestra ¿Estrellas? ,0,0,6,0,0,0
120,¿Cuál es la montaña más alta?,1,0,0,1,1,1
121,¿Que poeta ha escrito el mayor número de libros?,0,0,0,0,0,0
122,¿Que lenguajes de programación influenciaron el Javascript?,9,0,0,1,1,1
123,¿Qué músico ha escrito el mayor numero de libros?,0,0,0,0,0,0
124,¿En qué películas con Clint Eastwood están dirigidas por él mismo?,0,0,10,0,0,0
125,¿Qué productos de software han sido desarrollados por empresas fundadas en California?,0,0,216,0,0,0
126,¿Qué instrumentos tocaba Cat Stevens?,0,0,10,0,0,0
127,¿Cuántas compañías son miembros del la Star Alliance?,1,0,0,1,1,1
128,Dame todos los actores llamados Baldwin.,0,0,0,0,0,0
129,¿Quien escribió Los juegos del hambre?,1,0,0,1,1,1
130,¿Qué discográfica grabó el primer album de Elvis?,0,0,1,0,0,0
131,¿Actúa Christian Bale en Batman Begins?,0,0,0,0,0,0
132,¿Dónde vive el primer ministor de España?,1,0,0,1,1,1
133,¿Qué actor ha actuado en el mayor número de películas?,0,0,0,0,0,0
134,¿Qué países tienes más de dos lenguas oficiales?,0,0,33,0,0,0
135,¿Qué países tienen más de diez cuevas?,0,0,22,0,0,0
136,¿Enseñame todas las canciones de Bruce Springsteen que aparecieron entre 1980 y 1990.,0,0,7,0,0,0
137,¿Qué series televisivas ideó John Cleese?,7,0,0,1,1,1
138,¿Cuándo ingresó Letonia a la unión europea?,0,0,1,0,0,0
139,¿Que jugadores de futbol han nacido en Malta?,113,0,0,1,1,1
140,¿Cuántos políticos se han graduado en la universidad de Columbia?,1,0,0,1,1,1
141,Dame los cumpleaños de los actores de la serie de televisión Charmed.,0,0,10,0,0,0
142,¿Qué empresas de telecomunicaciones tienen su sede en Bélgica?,0,229,1,0,0,0
143,Dame una lista de todos los lagos en Dinamarca.,0,0,8,0,0,0
144,¿Cuántos hijos tiene Eddie Murphy?,1,0,0,1,1,1
145,Muéstrame todos los edificios góticos en Kent.,0,0,18,0,0,0
146,¿Quien es el manager de Real Madrid?,1,0,0,1,1,1
147,¿En qué páises se paga con el Franco CFA?,0,0,15,0,0,0
148,,0,0,2077,0,0,0
149,¿Cuál es el río más largo?,1,0,0,1,1,1
150,¿Qué empresas fueron fundadas en 1930?,0,0,0,0,0,0
151,¿Cuál es el nombre de soltera de Angela Merkel?,0,0,0,0,0,0
152,¿Quién ha estado casado con Tom Cruise?,3,0,0,1,1,1
153,¿Qué armas crearon Heckler y Koch?,13,0,0,1,1,1
154,Qué es el pequeñísimo ciudad por zona en ¿Alemania? ,0,0,0,0,0,0
155,¿Qué partido gobierna en Lisboa?,1,0,0,1,1,1
156,¿Cuánto pesa el satélite más ligero de Júpiter?,0,0,1,0,0,0
157,¿Cuántos empleados tiene IBM?,1,0,0,1,1,1
158,Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.,0,0,0,0,0,0
159,¿Qué abrevia ICRO?,0,0,1,0,0,0
160,¿Tiene la nueve serie de Battlestar-Galactica más episodios que la anterior?,0,0,0,0,0,0
161,Dame todas las películas del producente Hal Roach.,527,0,0,1,1,1
162,¿Quien actuó como el agente Smith en Matrix?,0,0,2,0,0,0
163,¿Qué partidos Griegos están a favor de Europa?,0,0,8,0,0,0
164,Dame una lista de todos los líderes de un grupo que tocan la trompeta.,0,0,46,0,0,0
165,¿Cuál es la segunda montaña más alta de la tierra?,0,0,1,0,0,0
166,¿Es la cuidad más grande de Egipto también capital?,0,0,0,0,0,0
167,¿Qué cohetes han sido lanzados desde Baionur?,0,0,37,0,0,0
168,¿Cuántos lenguajes de programación existen?,0,0,1,0,0,0
169,¿Qué jugadores de ajedrez murieron en sus lugares de nacimiento?,0,0,66,0,0,0
170,¿Quién es el dueño de Facebook?,5,0,0,1,1,1
171,Dame todas las películas con Tom Cruise,25,0,0,1,1,1
172,¿En qué estado american se encuentra Fort Knox?,0,0,1,0,0,0
173,Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,0,0,4,0,0,0
174,¿Qué montañas son más altas que el Nanga Parbat?,0,0,12,0,0,0
175,Dame todas las caras B de los Ramones.,0,0,11,0,0,0
176,¿Cuáles son las especialidades del UNC Health Care?,2,0,0,1,1,1
177,¿Cuándo fue disparado Olof Palme?,0,0,1,0,0,0
178,Lista los siete reyes de Roma.,0,0,7,0,0,0
179,Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,0,0,13,0,0,0
180,¿Es Darth Vader el padre de Luke?,0,0,0,0,0,0
181,Muéstrame todas las cervecerías en Australia.,0,0,3,0,0,0
182,Dame todas las películas producidas por Steven Spielberg con un presupuesto de al menos 80 milliones de dólares.,0,0,0,0,0,0
183,Dame todos los club de fútbol de España.,695,0,0,1,1,1
184,¿Quién ha producido películas en las que actua Natalie Portman?,0,0,36,0,0,0
185,Dame todas las razas de pastor alemán.,0,0,8,0,0,0
186,¿Quien es el jugador mas pesado del los Chicago Bulls?,0,0,1,0,0,0
187,¿Qué idiomas se hablan en Estonia?,8,0,0,1,1,1
188,¿Cuál es el país más grande del mundo?,1,0,0,1,1,1
189,Qué es el más grande ciudad en ¿America? ,1,0,0,1,1,1
190,¿Quien fue el papa que fundo la televisión Vaticana?,1,0,0,1,1,1
191,¿Quién descubrió Ceres?,1,0,0,1,1,1
192,¿Quién es el rey de los Países Bajos?,1,0,0,1,1,1
193,¿La Coca Cola es una bebida?,0,0,0,0,0,0
194,Qué es el alma mater de el canciller de Alemania Angela Merkel? ,0,0,1,0,0,0
195,¿Quen escribió el libro Los pilares de la Tierra?,0,0,1,0,0,0
196,¿Qué aeropuertos sirve Yeti Airlines?,3,0,0,1,1,1
197,Dónde es el lugar de nacimiento de ¿Goethe? ,0,0,2,0,0,0
198,¿Fué la crisis de cuba antes de la invasión de bahía de cochinos?,0,0,0,0,0,0
199,¿Qué ingredientes son necesarios para una tarta de zanahorias?,0,0,6,0,0,0
200,¿Quién creó Wikipedia?,2,0,0,1,1,1
201,Qué es el más alto montaña en Sajonia ¿Alemania? ,1,0,0,1,1,1
202,Quien es el corriente federal ministro de financiar en ¿Alemania? ,0,0,1,0,0,0
203,¿En que país se sitúa la Meca?,1,0,0,1,1,1
204,¿Quién interpreto a Gus Fring en Breaking Bad?,0,0,1,0,0,0
205,¿En qué país nace el Nilo?,2,0,0,1,1,1
206,En cual estado Penn Estado Universidad es ¿situado? ,1,0,0,1,1,1
207,¿Cuál es el estadio más grande de España?,1,0,0,1,1,1
208,¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?,0,0,1,0,0,0
209,Cómo grande es el zona de ¿REINO UNIDO? ,0,0,2,0,0,0
210,¿Quién creó Batman?,2,0,0,1,1,1
211,,0,0,0,0,0,0
212,¿Quiénes son los desarrolladores de DBpedia?,3,0,0,1,1,1
213,Dame todas las películas que haya dirigido Francis Ford Coppola.,28,0,0,1,1,1
214,¿Son las ranas verdes un tipo de anfibio?,0,0,0,0,0,0
215,¿Donde están situadas las Casas del Parlamento?,0,0,2,0,0,0
216,cómo mucho es el elevación de Düsseldorf Aeropuerto ? ,1,1,0,0.5,1,0.6666667
217,Cómo mucho es el población de Méjico ciudad ? ,0,0,1,0,0,0
218,cuando estaba el establecimiento fecha de francés quinto ¿república? ,0,0,1,0,0,0
219,,0,0,0,0,0,0
220,¿Quién es el editor de Forbes?,1,0,0,1,1,1
221,¿Qué premios ha ganado Douglas Hofstadter?,3,0,0,1,1,1
222,¿Quién es el jugador mas jóven de dardos?,1,0,0,1,1,1
223,,0,0,0,0,0,0
224,¿Por qué río cruza la Brooklyn Bridge?,1,0,0,1,1,1
225,¿Cuántas personas viven en Polonia?,1,0,0,1,1,1
226,Cuando estaba el último episodio de el televisión serie Amigos aireado? ,0,0,1,0,0,0
227,¿La mujer del presidente Obama se llama Michelle?,0,0,0,0,0,0
229,Quien es Octavo presidente de ¿NOS? ,0,0,0,0,0,0
230,cómo mucho es el total población de europeo ¿Unión? ,1,0,0,1,1,1
231,Dame todas las plataformas de lanzamiento operadas por la NASA.,7,0,0,1,1,1
232,¿Quién desarrolló el videojuego Warcraft?,1,0,0,1,1,1
233,Qué es el nacimiento nombre de Adele? ,1,0,0,1,1,1
234,Qué es el población de ¿El Cairo? ,1,0,0,1,1,1
235,¿Todavía vive Frank Herbert?,0,0,0,0,0,0
236,Qué es el último trabajo de Y ¿Marrón? ,0,0,0,0,0,0
237,Dónde es Sungkyunkwan ¿Universidad? ,0,0,1,0,0,0
238,Quien es el autor de el interpretación de ¿Sueños? ,1,0,0,1,1,1
239,Cuando estaba el muerte de Shakespeare? ,1,0,0,1,1,1
241,¿Quien desarrolló Slack?,1,0,0,1,1,1
242,Dónde es el origen de Carolina ¿segador? ,1,0,0,1,1,1
243,¿En que año nació Rachel Stevens?,1,0,0,1,1,1
244,¿Cuántas veces ha estado casada Jane Fonda?,1,0,0,1,1,1
245,¿La mujer del presidente Lincoln se llama Mary?,0,0,0,0,0,0
246,¿Por qué ciudades pasa el río Weser?,7,0,0,1,1,1
247,¿En qué lenguaje de programación esta programado GIMP?,2,0,0,1,1,1
248,,0,0,1,0,0,0
249,Dame todos los musicales con música de Elton John.,0,0,5,0,0,0
250,¿Cuántas tiendas Aldi hay?,0,0,1,0,0,0
251,,0,0,1,0,0,0
252,,0,0,1,0,0,0
253,¿Qué compañías producen aerodeslizadores?,3,0,0,1,1,1
254,¿Quién fué la mujer del presidente americano Lincoln?,0,0,1,0,0,0
255,Cual especies hace un elefante ¿pertenecer a? ,0,0,0,0,0,0
256,¿Cuánta gente vive en la capital de Australia?,0,0,1,0,0,0
257,En que imperio antiguo pagaría con granos de cacao?,0,0,1,0,0,0
258,,0,0,1,0,0,0
259,¿Quién compuso la banda sonora del Titanic de Cameron?,0,0,1,0,0,0
260,,0,0,1,0,0,0
262,Con cómo muchos países Corrí tiene fronteras? ,0,0,8,0,0,0
263,¿Qué compañías de electrónica fueron fundadas en Pekín?,1,29,0,0.033333335,1,0.064516135
264,¿Quién fué el sucesor de John F. Kennedy?,3,0,0,1,1,1
265,¿Quién es el alcalde de París?,1,0,0,1,1,1
266,¿Fue Arnold Schwarzenegger a la universidad?,0,0,0,0,0,0
267,¿Está James Bond casado?,0,0,0,0,0,0
268,¿Desemboca el Isar en un lago?,0,0,0,0,0,0
269,¿Qué empresa de la India tiene el mayor número de empleados?,0,0,1,0,0,0
270,¿Quién fué el vicepresidente de John F. Kennedy?,1,0,0,1,1,1
271,¿De qué país viene el creador de Nijntje?,0,0,1,0,0,0
273,¿En qué ciudad esta la fábrica de cerveza Heineken?,0,0,1,0,0,0
274,¿Es Barack Obama demócrata?,0,0,0,0,0,0
275,Dame una lista de los hijos de Margaret Thatcher.,2,0,0,1,1,1
276,¿De que región es el vino Melon de Bourgogne?,4,0,0,1,1,1
278,cómo grande es el total zona de norte Rhine- Westfalia? ,1,0,0,1,1,1
279,¿Que ciudad tiene la mayor población?,0,0,1,0,0,0
280,Qué es Donald Trump principal ¿negocio? ,0,0,4,0,0,0
281,Cuando será comienzo el final partido de el fútbol mundo vaso 2018? ,0,0,1,0,0,0
282,¿Qué películas dirigio Stanley Kubrick?,16,0,0,1,1,1
283,cómo mucho es el población ¿Irak? ,1,0,0,1,1,1
284,¿Cuántos habitantes tiene la ciudad más grande de Canadá?,0,0,1,0,0,0
285,¿Quien es el alcalde de la capital de la Polinesia Francesa?,0,0,1,0,0,0
286,Dame todos los actores de películas dirigidas por William Shatner.,18,0,0,1,1,1
287,¿Cómo de alta es Claudia Schiffer?,1,0,0,1,1,1
288,cómo mucho es el población densidad rango de ¿Alemania? ,0,0,1,0,0,0
289,¿Cuál es la montaña mas alta en Italia?,1,0,0,1,1,1
290,Dame todos los juegos de GMT.,8,0,0,1,1,1
291,¿Cuál es la idioma oficial de Surinam?,1,0,0,1,1,1
292,¿En que ciudad murió Nikos Kazantzakis?,1,0,0,1,1,1
293,¿Qué contiene una galleta de chocolate?,0,0,10,0,0,0
294,¿En qué país se encuentra el lago Limerick?,1,0,0,1,1,1
295,Dame todos los videojuegos de Mean Hamster Software.,2,0,0,1,1,1
296,Dame todos los miembros de la banda Prodigy.,3,0,0,1,1,1
297,¿En qué zona horaria esta Roma?,1,0,0,1,1,1
298,¿Cómo de alta el faro de Colombo?,0,0,1,0,0,0
299,Quien son el escritores de el pared álbum de Rosado Floyd? ,0,0,0,0,0,0
300,¿Quién es el alcalde de Rotterdam?,1,0,0,1,1,1
301,¿Cuál es la cuidad más grande de Australia?,1,0,0,1,1,1
302,¿Quién estuvo casado con el presidente Chirac?,0,0,1,0,0,0
303,,0,0,1,0,0,0
304,¿Cómo de alta el la torre Yokohama Marine?,1,0,0,1,1,1
305,,0,0,2077,0,0,0
306,Quien es el jugador de baloncesto mas alto?,1,0,0,1,1,1
307,¿Cuántos idiomas se hablan en Turkmenistán?,1,0,0,1,1,1
308,¿Tuvo hijos el Che Guevara?,0,0,0,0,0,0
309,¿Gano Kaurismäki alguna vez el Gran Prix de Cannes?,0,0,0,0,0,0
310,¿A qué partido politico pertenece el alcalde de París?,0,0,1,0,0,0
311,¿Quién es el conductor de Formula 1 con más carreras?,0,0,1,0,0,0
312,¿De qué país es Sitecore?,1,0,0,1,1,1
313,,0,0,1,0,0,0
314,¿Actúa Christian Bale en Velvet Goldmine?,0,0,0,0,0,0
315,¿Quién es el hijo de Sonny y Cher?,1,0,0,1,1,1
316,¿Cuántos grupos étnicos viven en Eslovenia?,1,0,0,1,1,1
317,¿Cuál es la capital de Camerún?,1,0,0,1,1,1
318,¿Nació Natalie Portman en los estados unidos de américa?,0,0,0,0,0,0
319,¿Cuántas páginas tiene Guerra y Paz?,1,0,0,1,1,1
320,¿Cuál es el hijo mas mayor de Meryl Streep?,1,0,0,1,1,1
321,¿Qué series televisivas ideó Walt Disney?,8,0,0,1,1,1
322,¿Qué abrevia IYCM?,0,0,1,0,0,0
323,¿Que tipo de uva crece en Oregon?,82,0,0,1,1,1
324,¿Estuvo el el presidente de los estados unidos Jackson involucrado en una guerra?,0,0,0,0,0,0
325,¿Cuando se completo el Titanic?,0,0,1,0,0,0
326,¿Obtuvo Tesla el premio nobel de física?,0,0,0,0,0,0
327,,0,0,1,0,0,0
328,¿Qué científicos son conocidos por el proyecto Manhattan y el premio Nobel de la Paz?,0,0,1,0,0,0
329,¿Cuánto cuesta la película de Lego?,1,0,0,1,1,1
330,¿Quién compuso la música para Harold y Maude?,1,0,0,1,1,1
331,Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.,0,0,0,0,0,0
332,¿Que ciudad tiene la menor población?,0,0,1,0,0,0
333,¿Dónde está enterrado Syngman Rhee?,1,0,0,1,1,1
334,¿juega Neymar en el Real Madrid?,0,0,0,0,0,0
335,¿Quen escribió el libro Los pilares de la Tierra?,1,0,0,1,1,1
336,¿Tienen el príncipe Harry y el prínciple William la misma madre?,0,0,0,0,0,0
337,¿Quien es el supervisor de doctorado de Albert Einstein?,1,0,0,1,1,1
338,¿Tiene Breaking Bad más episodios que Game of Thrones?,0,0,0,0,0,0
339,¿Quién inspiro a Vincent van Gogh?,1,0,0,1,1,1
340,,0,0,1,0,0,0
341,,0,0,1,0,0,0
342,¿Cuanto costo Pulp Fiction?,1,0,0,1,1,1
343,¿La proinsulina es una proteina?,0,0,0,0,0,0
344,,0,0,0,0,0,0
345,¿Quien protagoniza peliculas españolas producidas por Benicio del Toro?,0,0,1,0,0,0
346,¿Es el lago Baikal mayor que el lago Great Bear?,0,0,0,0,0,0
347,Muéstrame todos los libros en la serie Fundación de Asimov,3,0,0,1,1,1
348,¿Dónde nació Bach?,1,0,0,1,1,1
349,,0,0,1,0,0,0
350,¿Quién diseñó la Brooklyn Bridge?,1,0,0,1,1,1
351,,0,0,1,0,0,0
352,¿Quién es el anfitrión de los especiales de la BBC Wildlife?,1,0,0,1,1,1
353,"¿Cuál es la población total de Melbourne, Florida?",1,0,0,1,1,1
354,¿En que país esta el monte Everest?,2,5,0,0.2857143,1,0.44444448
355,¿A qué estilo artístico pertenece el pinto de Los Tres Bailarines?,0,0,2,0,0,0
356,¿Cuándo comenzó la operación Overlord?,1,0,0,1,1,1
357,¿Qué puente tiene el mayor largo del vano?,0,0,1,0,0,0
358,¿Hay algún videojuego que se llame Battle Chess?,0,0,0,0,0,0
359,,0,0,2,0,0,0
360,,0,0,0,0,0,0
361,¿Tuvo Sócrates influencia sobre Aristóteles?,0,0,0,0,0,0
362,¿Cuántos hijos tuvo Benjamin Franklin?,1,0,0,1,1,1
363,¿Qué altura tiene Michael Jordan?,1,0,0,1,1,1
364,¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?,0,0,1,0,0,0
365,¿Quién creó Family Guy?,1,0,0,1,1,1
366,¿En que ciudad termina la ruta Chilena 68?,1,0,0,1,1,1
367,Dame todos los nietos de Elvis Presley.,0,0,1,0,0,0
368,¿Cuándo se disolvió la dinastía de Ming?,1,0,0,1,1,1
369,¿En qué conflictos militares participó Lawrence de Arabia?,0,0,6,0,0,0
370,¿Cuál es la zona horaria en San Pedro de Atacama?,1,0,0,1,1,1
371,Dame todos los libros de Wiliam Goldman con más de 300 páginas.,0,0,10,0,0,0
372,¿De qué murió Bruce Carver?,1,0,0,1,1,1
373,¿Qué subsidiario de Lufthansa vuela en Dortmund y en Berlin?,0,0,1,0,0,0
374,¿Tiene el lugar de nacimiento de Abraham Lincol una página web?,0,0,0,0,0,0
375,Tuvo hijos Elvis Presley?,0,0,0,0,0,0
376,¿Es Michele Obama la esposa de Barack Obama?,0,0,0,0,0,0
377,¿En qué ciudad vive Sylvester Stallone?,1,0,0,1,1,1
378,¿Qué libros de Kerouac han sido publicados por Viking Press?,3,414,0,0.007194245,1,0.014285714
379,¿Quién escribió la canción Hotel California?,3,0,0,1,1,1
380,¿Cuál es la capital de Canadá?,1,0,0,1,1,1
381,¿Quién es el alcalde de Tel Aviv?,1,0,0,1,1,1
382,¿Qué forma de gobierno tiene Rusia?,1,0,0,1,1,1
383,Muéstrame el libro escrito por Muhammad Ali.,2,0,0,1,1,1
384,¿Quién fue el primero en ascender al Monte Everest?,4,0,0,1,1,1
385,¿Cuántos idiomas se hablan en Colombia?,1,0,0,1,1,1
386,¿Cuál es la moneda de la república checa?,1,0,0,1,1,1
387,¿Dónde en Francia se produce el vino espumoso?,0,0,1,0,0,0
388,¿Cuándo termino Boris Becker su carrera como actor?,0,0,1,0,0,0
389,¿Que peliculas protagonizadas por Mickey Rourke han sido dirigidas por Guy Ritchie?,0,0,1,0,0,0
390,¿En qué películas actúan Julia Roberts y Richard Gere?,0,0,2,0,0,0
391,Muéstrame la autobiografía Hemingway.,0,0,1,0,0,0
392,¿Cómo de alta es Amazon Eve?,1,0,0,1,1,1
393,¿Cuáles son los cinco condados de Nueva York?,0,0,5,0,0,0
394,Dame todos las empresas canadienses productoras de música Grunge.,1,0,0,1,1,1
395,¿En qué país nace el Ganges?,1,0,0,1,1,1
