QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
12,0.9380530973,Chi dipinse il Cristo nella tempesta sul mare di Galilea?,"""Chi dipingere Cristo nella tempesta sul mare di Galilea?""",,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist> ?o . 

}",1,0,0,1,1,1
13,0.843373494,Attraverso quali citt├á scorre il fiume Weser?,"""attraverso Quale citt´┐¢ scorrere Weser?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?o . 

}",7,0,0,1,1,1
14,0,Quanti posti a sedere ha lo stadio del FC Porto,,,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . },,0,1,1,0,0,0
15,0,Con chi ├¿ sposata la figlia di Robert Kennedy?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child . ?child <http://dbpedia.org/ontology/spouse> ?uri . },,0,1,1,0,0,0
16,0.78,Quali libri di Kerouac furono pubblicati da Viking Press?,"""Quante libri sono pubblica da Viking Press?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . },"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Viking_Press> <http://dbpedia.org/ontology/publisher> ?objOfProp . 

}",0,1,29,0,0,0
17,0.7659574468,Quanto ├¿ alta Amazon Eve?,"""Quanto ├¿ alto Everest?""",,SELECT DISTINCT ?height WHERE { <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . },"select ?o 

{

 <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/elevation> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}",0,1,1,0,0,0
18,0.7887323944,In quale museo ├¿ esposto l'Urlo di Munch?,"""Quale museo ha esposto L'urlo?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:The_Scream dbo:museum ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum> ?o . 

}",1,0,0,1,1,1
19,0.967032967,Chi ha scritto il libro I pilastri della Terra?,"""chi ha scritto libro I pilastri della Terra?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:The_Pillars_of_the_Earth dbo:author ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?o . 

}",1,0,0,1,1,1
21,0.8070175439,Chi ha scoperto Cerere?,"""Chi ha scoperto Cerere astronomia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?o . 

}",1,0,0,1,1,1
22,0.9111111111,Quale fiume attraversa il ponte di Brooklyn?,"""Quale fiume ha attraversato Ponte di Brooklyn?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Brooklyn_Bridge dbo:crosses ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses> ?o . 

}",1,0,0,1,1,1
23,0,Chi venne chiamato Frank The Tank?,,,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbp:nickname 'Frank The Tank'@en . 
}",,0,1,1,0,0,0
24,0.88,Qual ├¿ la nazione pi├╣ grande al mondo?,"""qual ├¿ nazione il pi´┐¢ grande al mondo""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
25,0.9411764706,Chi ├¿ il sindaco di Parigi?,"""Chi ├¿ sindaco di Parigi?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName> ?o . 

}",0,1,1,0,0,0
26,0,Chi ├¿ l'allenatore della squadra di hockey di Ankara?,,,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },,0,1,1,0,0,0
27,0.7311827957,Chi ├¿ il sindaco della capitale della Polinesia Francese?,"""Chi sono capi di Polinesia francese?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:French_Polynesia dbo:capital ?x .
 ?x dbo:mayor ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/leader> ?o . 

}",0,3,1,0,0,0
28,0.962962963,Quali premi ha vinto Douglas Hofstadter?,"""Quale premio ha vinto Douglas Hofstadter?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
 res:Douglas_Hofstadter dbo:award ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award> ?o . 

}",3,0,0,1,1,1
29,0.8064516129,Quanto ├¿ costato il Lego Movie?,"""Qual ├¿ costo di The LEGO Movie?""",,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . },"select ?o 

{

 <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?o . 

}",1,0,0,1,1,1
30,0.92,Dove inizia Piccadilly?,"""Dove ´┐¢ iniziato Piccadilly?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. },"select ?s 

{

 ?s <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly> . 

}",1,0,0,1,1,1
32,0,Chi interpretava l'agente Smith in Matrix?,,,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Agent_Smith dbp:portrayer ?uri . 
}",,0,1,2,0,0,0
33,0.9534883721,Quante lingue sono parlate in Turkmenistan?,"""quante Lingua sono parlato in Turkmenistan?""",,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE { <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . },"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?objOfProp . 

}",1,0,0,1,1,1
34,0,In quali film recitano sia Julia Roberts che Richard Gere?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . },,0,1,39,0,0,0
35,0.9473684211,In quale stato nasce il Gange?,"""in Quale stato nasce Gange?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:Ganges dbo:sourceCountry ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation> ?o . 

}",0,1,1,0,0,0
36,0.9315068493,In quale anno ├¿ nata Rachel Stevens?,"""nel quale anno ├¿ nato Rachel Stevens?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?o . 

}",1,0,0,1,1,1
38,0.8823529412,Dove ├¿ nato Bach?,"""dove ├¿ nato Cher?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace> ?o . 

}",0,1,1,0,0,0
39,0.75,Quante volte si ├¿ sposata Jane Fonda?,"""Quante persona sono si sposa da Jane Fonda?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . },"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?objOfProp . 

}",1,0,0,1,1,1
40,0,Chi ├¿ stato il primo a scalare il Monte Everest?,,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
 res:Mount_Everest dbo:firstAscentPerson ?uri . 
}",,0,1,4,0,0,0
41,1,Quante persone vivono in Polonia?,"""Quante persone vivono in Polonia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?o . 

}",1,0,0,1,1,1
42,0.9367088608,Dove si trova il Palazzo di Westminster?,"""Dove si trovava Palazzo di Westminster?""",,SELECT ?uri WHERE { <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?o . 

}",3,0,0,1,1,1
44,0.8378378378,In quale stato si trova il lago Limerick?,"""in quale stato si trova La Mecca?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:Limerick_Lake dbo:country ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Mecca> <http://dbpedia.org/ontology/country> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}",0,1,1,0,0,0
45,0.7272727273,Qual ├¿ l'ultimo film con Alec Guinness?,"""Qual ├¿ data di morte di Alec Guinness?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> . ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1,"select ?o 

{

 <http://dbpedia.org/resource/Alec_Guinness> <http://dbpedia.org/ontology/deathPlace> ?o . 

}",0,3,1,0,0,0
46,0.8148148148,Qual ├¿ la montagna pi├╣ alta d'Australia?,"""qual ├¿ montagna il pi´┐¢ alto in Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:Mountain .
 ?uri dbo:locatedInArea res:Australia .
 ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
48,1,Chi ha creato I Griffin?,"""Chi ha creato I Griffin?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/developer> ?o . 

}",0,1,1,0,0,0
49,0.9210526316,Qual ├¿ la lingua ufficiale del Suriname?,"""Qual ├¿ lingua ufficiale di Suriname?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Suriname dbo:officialLanguage ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage> ?o . 

}",1,0,0,1,1,1
50,0.8571428571,Chi ha scritto la canzone Hotel California?,"""chi ha scritto canzoni Hotel California singolo?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?o . 

}",3,0,0,1,1,1
51,0.7118644068,Dammi tutti gli attori che recitano in film diretti da William Shatner.,"""Dammi tutti film recitare in da William Shatner""",,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?x <http://dbpedia.org/ontology/starring> ?uri . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/William_Shatner> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",0,48,18,0,0,0
52,0,Cosa c'e' in un biscotto con gocce di cioccolato?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . },,0,1,10,0,0,0
53,0,Dammi tutti gli skateboarders professionisti di Svezia.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 ?uri dbo:occupation res:Skateboarding . 
 { ?uri dbo:birthPlace res:Sweden . }
 UNION
 { ?uri dbo:birthPlace ?place . 
 ?place dbo:country res:Sweden . }
}",,0,1,2,0,0,0
54,0.7608695652,Di quali ingredienti ho bisogno per la torta di carote?,"""di Qual ingrediente ├¿ Torta di carote""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?o . 

}",9,0,0,1,1,1
56,0.7466666667,Quale informatico ha vinto un Oscar?,"""Quale scienziato ha vinto Premio Oscar?""",,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . }","select ?s 

{

 ?s <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . 

}",0,29,1,0,0,0
57,0,Quante societ├á sono state fondate nello stesso anno di Google?,,,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/foundingYear> ?year . <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . },,0,1,1,0,0,0
58,0,In quale citt├á del Regno Unito si trova il quartier generale del MI6?,,,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
 res:Secret_Intelligence_Service dbo:headquarter ?uri . 
 ?uri dbo:country res:United_Kingdom . 
}",,0,1,3,0,0,0
60,0.9583333333,Che cosa significa IYCM?,"""Chi cosa significa IYCM?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 ?uri dbo:abbreviation 'IYCM' .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/abbreviation> 'IYCM' 

}",0,1,1,0,0,0
61,0.8358208955,Quando ├¿ scomparsa la dinastia Ming?,"""Quando ´┐¢ sciolta Dinastia Ming?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE { 
 res:Ming_dynasty dbo:dissolutionDate ?date .
}","select ?o 

{

 <http://dbpedia.org/resource/Ming_dynasty> <http://dbpedia.org/ontology/dissolutionDate> ?o . 

}",1,0,0,1,1,1
62,0,Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos!,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 ?uri dbo:series res:The_Sopranos .
 ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
63,0.9591836735,"Qual ├¿ la popolazione totale di Melbourne, Florida?","""Qual ├¿ popolazione totale di Melbourne Florida?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT ?uri 
WHERE { 
 <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Melbourne,_Florida> <http://dbpedia.org/ontology/populationTotal> ?o . 

}",1,0,0,1,1,1
65,0.8767123288,In quale stato si trova il Monte Everest?,"""in Quale stato si trova Everest?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 res:Mount_Everest dbo:locatedInArea ?uri . 
 ?uri rdf:type dbo:Country .
}","select ?o 

{

 <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/locatedInArea> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}",7,0,0,1,1,1
66,0.8684210526,Qual ├¿ la citt├á pi├╣ grande d'Australia?,"""Qual ├¿ citt´┐¢ pi´┐¢ grande di Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Australia dbo:largestCity ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}",1,0,0,1,1,1
67,0.7956989247,Dammi tutte le rampe di lancio gestite dalla NASA.,"""Dammi tutti rampe di lancio operare da NASA""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri rdf:type dbo:LaunchPad . 
 ?uri dbo:operator res:NASA . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/NASA> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/LaunchPad> . 

}",9,0,0,1,1,1
68,0.9454545455,Chi ├¿ il sindaco di Tel Aviv?,"""Chi ├¿ sindaco di Tel Aviv?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Tel_Aviv dbo:leaderName ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Tel_Aviv> <http://dbpedia.org/ontology/leaderName> ?o . 

}",1,0,0,1,1,1
69,0,Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 ?uri dbo:series res:The_Sopranos .
 ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
70,1,Chi ha creato Batman?,"""Chi ha creato Batman?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?o . 

}",2,0,0,1,1,1
71,0,Chi ha interpretato Gustavo Fring in Breaking Bad - Reazioni collaterali?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?uri . },,0,1,1,0,0,0
72,0.875,In quale linguaggio di programmazione ├¿ scritto GIMP?,"""di Qual linguaggio di programmazione ├¿ GIMP""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:GIMP dbo:programmingLanguage ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/GIMP> <http://dbpedia.org/ontology/programmingLanguage> ?o . 

}",2,0,0,1,1,1
